Are you on the waiting list?,Program,Experiences with tools,"Programming and Analytical Experiences [R, data manipulation and modeling]",What is your preferred gender pronoun?,What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github]
No,IDSE (master),"R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs)",Confident,she/her,RStudio,Confident,A little,A little,A little,None
No,Other masters,"R, Excel, RStudio, ggplot2, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,he/him,RStudio,A little,A little,A little,A little,A little
No,Data Science Certification,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",Expert,he/him,Atom,Confident,Confident,Expert,Confident,Confident
No,IDSE (master),"Excel, Python, Web: html css js, dropbox, google drive (formerly docs)",None,he/him,Sublime,None,None,None,None,None
No,IDSE (master),"R, SQL, RStudio, C/C++, Python, dropbox, google drive (formerly docs)",Confident,he/him,textwrangler,Confident,Confident,A little,None,None
No,IDSE (master),"Matlab, Github, RStudio, C/C++, Python, LaTeX",A little,he/him,sublime text 2,None,None,A little,A little,A little
Yes,Statistics (master),"Matlab, R, Github, Excel, RStudio, ggplot2, C/C++, Python, dropbox, google drive (formerly docs)",Confident,he/him,RStudio,Confident,A little,None,Confident,Confident
No,QMSS,"Matlab, R, Excel, SQL, RStudio, C/C++, Python, Stata",A little,doesn't matter,haven't used any,None,A little,A little,A little,None
No,IDSE (master),"Excel, SPSS, Python, Stata, dropbox, google drive (formerly docs)",None,he/him,Stata,None,None,None,None,None
No,IDSE (master),"R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",Confident,he/him,RStudio,A little,None,Confident,None,A little
